from,to,const,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,y1,y2,y3,y4,y5,y6,y7,y8,y9,y10,y11,y12,y13,y14,y15,y16,y17,y18,y19,y20,y21,y22,y23,y24,y25,y26,y27,y28,y29,y30,y31,y32,y33,y34,y35,y36,y37,y38,y39,y40
NPIN,NTIN,0.00413,0.003578,0.003865,0.004244,0.004577,0.005022,0.005539,0.005436,0.004259,0.003722,0.003256,0.003056,0.003005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPKS,NTKS,0.00423,0.003665,0.003958,0.004347,0.004688,0.005144,0.005673,0.005568,0.004362,0.003812,0.003335,0.00313,0.003078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPKY,NTKY,0.00447,0.003873,0.004183,0.004593,0.004953,0.005435,0.005995,0.005884,0.00461,0.004028,0.003524,0.003308,0.003252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPLA,NTLA,0.00423,0.003665,0.003958,0.004347,0.004688,0.005144,0.005673,0.005568,0.004362,0.003812,0.003335,0.00313,0.003078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPMI,NTMI,0.00379,0.003284,0.003547,0.003895,0.0042,0.004609,0.005083,0.004989,0.003909,0.003415,0.002988,0.002805,0.002758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPMS,NTMS,0.00417,0.003613,0.003902,0.004285,0.004621,0.005071,0.005593,0.005489,0.004301,0.003758,0.003287,0.003086,0.003034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPMT,NTMT,0.00364,0.003154,0.003406,0.00374,0.004034,0.004426,0.004882,0.004791,0.003754,0.00328,0.002869,0.002694,0.002649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPNE,NTNE,0.00398,0.003448,0.003725,0.00409,0.00441,0.00484,0.005338,0.005239,0.004105,0.003586,0.003137,0.002945,0.002896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPNM,NTNM,0.00532,0.004609,0.004978,0.005467,0.005895,0.006469,0.007135,0.007003,0.005487,0.004794,0.004194,0.003937,0.003871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPNY,NTNY,0.00465,0.004029,0.004351,0.004778,0.005153,0.005654,0.006237,0.006121,0.004796,0.00419,0.003666,0.003441,0.003383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPND,NTND,0.00392,0.003396,0.003668,0.004028,0.004344,0.004767,0.005258,0.00516,0.004043,0.003532,0.00309,0.002901,0.002852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPOH,NTOH,0.00463,0.004011,0.004333,0.004758,0.005131,0.00563,0.00621,0.006095,0.004775,0.004172,0.00365,0.003426,0.003369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPOK,NTOK,0.00471,0.004081,0.004408,0.00484,0.005219,0.005727,0.006317,0.0062,0.004857,0.004244,0.003713,0.003486,0.003427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPOR,NTOR,0.00492,0.004263,0.004604,0.005056,0.005452,0.005983,0.006599,0.006476,0.005074,0.004433,0.003879,0.003641,0.00358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPSD,NTSD,0.00483,0.004185,0.00452,0.004963,0.005352,0.005873,0.006478,0.006358,0.004981,0.004352,0.003808,0.003574,0.003514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPTN,NTTN,0.00435,0.003769,0.004071,0.00447,0.00482,0.00529,0.005834,0.005726,0.004486,0.00392,0.003429,0.003219,0.003165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPTX,NTTX,0.0047,0.004072,0.004398,0.00483,0.005208,0.005715,0.006304,0.006187,0.004847,0.004235,0.003705,0.003478,0.00342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPUT,NTUT,0.00423,0.003665,0.003958,0.004347,0.004688,0.005144,0.005673,0.005568,0.004362,0.003812,0.003335,0.00313,0.003078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPWY,NTWY,0.0043,0.003726,0.004024,0.004419,0.004765,0.005229,0.005767,0.00566,0.004435,0.003875,0.00339,0.003182,0.003129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPFG,NTFG,0.0036,0.003119,0.003369,0.003699,0.003989,0.004378,0.004828,0.004739,0.003713,0.003244,0.002838,0.002664,0.002619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPFP,NTFP,0.0042,0.003639,0.00393,0.004316,0.004654,0.005107,0.005633,0.005529,0.004331,0.003785,0.003311,0.003108,0.003056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPVA,NTVA,0.0055,0.004765,0.005147,0.005652,0.006095,0.006688,0.007377,0.00724,0.005672,0.004956,0.004336,0.00407,0.004002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPWV,NTWV,0.00465,0.004029,0.004351,0.004778,0.005153,0.005654,0.006237,0.006121,0.004796,0.00419,0.003666,0.003441,0.003383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPFL,NTFL,0.00444,0.003847,0.004155,0.004562,0.00492,0.005399,0.005955,0.005845,0.004579,0.004001,0.0035,0.003286,0.003231,%updated 2012 costs - added from here,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPIL,NTIL,0.00441,0.003821,0.004127,0.004532,0.004887,0.005362,0.005915,0.005805,0.004548,0.003974,0.003476,0.003264,0.003209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPMD,NTMD,0.00567,0.004913,0.005306,0.005826,0.006283,0.006895,0.007605,0.007464,0.005848,0.005109,0.00447,0.004196,0.004126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPPA,NTPA,0.00526,0.004557,0.004922,0.005405,0.005829,0.006396,0.007055,0.006924,0.005425,0.00474,0.004147,0.003893,0.003827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NS,NT,0.00005 % Withdrawals from storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT,E,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT,NT,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NT,ND,0.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Electric generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EN,EL,0.006483703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EC,EL,0.009084936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ED,EL,0.006667276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EG,EL,0.004595852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ET,EL,0.010618755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EH,EL,0.004277466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EW,EL,0.01136226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EY,EL,0.015555773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EO,EL,0.005283873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EP,EL,0.028662111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EV,EL,0.003754403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EU,EL,0.019215199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,EL,0.021788099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E3,EL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E2,EL,0.012427919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E4,EL,0.014506,% Coal w/ CCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E5,EL,0.010137,% IGCC w/ CCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E6,EL,0.006756,% NGCC w/ CCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Nuclear fuel (million $ / GWh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XN,EN,0.002559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Oil generation fuel (million $ / GWh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XO,EO,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Gasoline (normal and jet) for vehicles (million $ / million gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XG,GD,3.8,%,,,,,,,,,,,,3.8,3.99,4.1895,4.398975,4.61892375,4.849869938,5.092363434,5.346981606,5.614330686,5.895047221,6.189799582,6.499289561,6.824254039,7.165466741,7.523740078,7.899927082,8.294923436,8.709669608,9.145153088,9.602410742,10.08253128,10.58665784,11.11599074,11.67179027,12.25537979,12.86814878,13.51155621,14.18713402,14.89649073,15.64131526,16.42338103,17.24455008,18.10677758,19.01211646,19.96272228,20.9608584,22.00890132,23.10934638,24.2648137,25.47805439
XJ,JD,3.3,%,,,,,,,,,,,,3.3,3.465,3.63825,3.8201625,4.011170625,4.211729156,4.422315614,4.643431395,4.875602965,5.119383113,5.375352268,5.644119882,5.926325876,6.22264217,6.533774278,6.860462992,7.203486142,7.563660449,7.941843471,8.338935645,8.755882427,9.193676548,9.653360376,10.13602839,10.64282981,11.1749713,11.73371987,12.32040586,12.93642616,13.58324746,14.26240984,14.97553033,15.72430685,16.51052219,17.3360483,18.20285071,19.11299325,20.06864291,21.07207506,22.12567881
% Diesel production for commodities (million $ / million gallons),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XD,DD,4,%,,,,,,,,,,,,4,4.2,4.41,4.6305,4.862025,5.10512625,5.360382563,5.628401691,5.909821775,6.205312864,6.515578507,6.841357432,7.183425304,7.542596569,7.919726398,8.315712718,8.731498354,9.168073271,9.626476935,10.10780078,10.61319082,11.14385036,11.70104288,12.28609502,12.90039977,13.54541976,14.22269075,14.93382529,15.68051655,16.46454238,17.2877695,18.15215798,19.05976587,20.01275417,21.01339188,22.06406147,23.16726454,24.32562777,25.54190916,26.81900462
% fleet operating cost - O&M (million $ / vehicle-mile),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ee,,0.0000469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ff,,0.0000089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kk,,0.000000255,%DTs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tt,,0.0000473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gg,,0.000000156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cc,,0.000000156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Intra-state Personal vehicle (fleet) operating cost - O&M (million $ / k-vehicle) (based on 11882 miles per year per vehicle),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,VD,1.853592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Biomass and Biorefinery (M$/GW or M$/M gallon),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EM,EL,0.00908494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EA,EL,0.00952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ES,EL,0.00671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER,EL,0.00908494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BR,BO,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% co-firing investment cost accounted in feedstock - M$/GW ~ M$/k-ton = M$/GWh (LCOE= 0.035) * GWh/k-ton (efficiency),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7T,EC,0.058436645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8T,EC,0.062600256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9T,EC,0.062088935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"%/ Geographical variation in feedstock op. cost (M$/k-ton) - in this include processing, transportation and drying cost (in bid segments include production cost/farmer)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPAL,7TAL,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPAZ,7TAZ,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPAR,7TAR,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCA,7TCA,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCO,7TCO,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPCT,7TCT,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPDE,7TDE,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPFL,7TFL,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPGA,7TGA,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPID,7TID,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPIL,7TIL,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPIN,7TIN,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPIA,7TIA,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPKS,7TKS,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPKY,7TKY,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPLA,7TLA,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPME,7TME,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPMD,7TMD,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPMA,7TMA,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPMI,7TMI,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPMN,7TMN,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPMS,7TMS,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPMO,7TMO,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPMT,7TMT,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPNE,7TNE,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPNV,7TNV,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPNH,7TNH,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPNJ,7TNJ,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPNM,7TNM,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPNY,7TNY,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPNC,7TNC,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPND,7TND,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPOH,7TOH,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPOK,7TOK,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPOR,7TOR,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPPA,7TPA,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPRI,7TRI,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSC,7TSC,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSD,7TSD,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPTN,7TTN,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPTX,7TTX,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
